no,장소(영문),장소(한글),Scenario,순서,화자,내용,TTS,발음,영어,
11,1100highland,1100고지,2-1. Transportation,6,Staff,"네, 호출앱으로 부르면 올 수 있지만, 시간이 조금 걸릴 수도 있어요.","네, 호출앱으로 부르면 올 수 있지만, 시간이 조금 걸릴 수도 있어요.","ne, ho-chu-rae-beu-ro bu-reu-myeon ol su it-jji-man, si-ga-ni jo-geum geol-lil su-do i-sseo-yo.","Yes, you can call them using the ride-hailing app, but it may take some time.",
12,1100highland,1100고지,2-1. Transportation,7,Customer,알겠습니다. 감사합니다.,알겠습니다. 감사합니다.,al-get-sseum-ni-da. gam-sa-ham-ni-da.,"Okay, thank you.",
13,1100highland,1100고지,2-2. Transportation,1,Customer,안녕하세요. 여기서 바로 한라산 정상까지 갈 수 있어요?,안녕하세요. 여기서 바로 한라산 정상까지 갈 수 있어요?,an-nyeong-ha-se-yo. yeo-gi-seo ba-ro hal-la-san jeong-sang-kka-ji gal su i-sseo-yo?,Hello. Can I get to the top of Hallasan Mountain directly from here?,
14,1100highland,1100고지,2-2. Transportation,2,Staff,"아, 아닙니다. 1100고지는 전맹대이고, 정상까지 직접 연결된 등산로는 없어요.","아, 아닙니다. 1100고지는 전맹대이고, 정상까지 직접 연결된 등산로는 없어요.","a, a-nim-ni-da. 1100go-ji-neun jeon-maeng-dae-i-go, jeong-sang-kka-ji jik-jjeop yeon-gyeol-doen deung-sal-lo-neun eop-seo-yo.","Oh, no. Hill 1100 is an observation deck, and there's no direct trail to the summit.",
15,1100highland,1100고지,2-2. Transportation,3,Customer,"아, 그런가요? 저는 바로 갈 수 있는 줄 알았어요.","아, 그런가요? 저는 바로 갈 수 있는 줄 알았어요.","a, geu-reon-ga-yo? jeo-neun ba-ro gal su in-neun jul a-ra-sseo-yo.","Oh, really? I thought I could go right away.",
16,1100highland,1100고지,2-2. Transportation,4,Staff,정상등반은 성판악이나 관음사 코스로 이동하셔야 해요.,정상등반은 성판악이나 관음사 코스로 이동하셔야 해요.,jeong-sang-deung-ba-neun seong-pa-na-gi-na gwa-neum-sa ko-seu-ro i-dong-ha-syeo-ya hae-yo.,"To reach the summit, you must take the Seongpanak or Gwaneumsa courses.",
17,1100highland,1100고지,2-2. Transportation,5,Customer,선판악까지는 어떻게 가요?,선판악까지는 어떻게 가요?,seon-pa-nak-kka-ji-neun eo-tteo-ke ga-yo?,How do I get to Seonpanak?,
18,1100highland,1100고지,2-2. Transportation,6,Staff,시외버스를 타고 이동하면 돼요.,시외버스를 타고 이동하면 돼요.,si-oe-beo-seu-reul ta-go i-dong-ha-myeon dwae-yo.,You can get there by taking an intercity bus.,
19,1100highland,1100고지,2-2. Transportation,7,Customer,"네, 알겠습니다. 감사합니다.","네, 알겠습니다. 감사합니다.","ne, al-get-sseum-ni-da. gam-sa-ham-ni-da.","Yes, I understand. Thank you.",
20,1100highland,1100고지,3. Climbing,1,Customer,안녕하세요. 혹시 정상까지 얼마나 남ㅇ맜나요?,안녕하세요. 혹시 정상까지 얼마나 남ㅇ맜나요?,an-nyeong-ha-se-yo. hok-ssi jeong-sang-kka-ji eol-ma-na namㅇman-na-yo?,Hello. How far is it to the top?,
21,1100highland,1100고지,3. Climbing,2,Staff,"아, 거의 다 왔어요! 힘내세요.","아, 거의 다 왔어요! 힘내세요.","a, geo-ui da wa-sseo-yo! him-nae-se-yo.","Ah, we're almost there! Cheer up.",
22,1100highland,1100고지,3. Climbing,3,Customer,"아, 정말요? 몇분정도 걸릴까요?","아, 정말요? 몇분정도 걸릴까요?","a, jeong-ma-ryo? myeot-ppun-jeong-do geol-lil-kka-yo?","Oh, really? How many minutes will it take?",
23,1100highland,1100고지,3. Climbing,4,Staff,한 40분? 어쩌면 한시간?,한 40분? 어쩌면 한시간?,han 40bun? eo-jjeo-myeon han-si-gan?,About 40 minutes? Maybe an hour?,
24,1100highland,1100고지,3. Climbing,5,Customer,"아, 아직 멀었잖아요!","아, 아직 멀었잖아요!","a, a-jik meo-reot-jja-na-yo!","Oh, it's still far away!",
25,1100highland,1100고지,3. Climbing,6,Staff,아니예요. 금방이예요. 친구분이랑 얘기하면서 가다보면 어느 새 도착해 있을 거예요.,아니예요. 금방이예요. 친구분이랑 얘기하면서 가다보면 어느 새 도착해 있을 거예요.,a-ni-ye-yo. geum-bang-i-ye-yo. chin-gu-bu-ni-rang yae-gi-ha-myeon-seo ga-da-bo-myeon eo-neu sae do-cha-kae i-sseul geo-ye-yo.,"No, it'll be quick. If you keep talking with your friend, you'll arrive before you know it.",
26,1100highland,1100고지,3. Photo,1,Customer,여기 사진찍기 좋은 위치가 어디예요?,여기 사진찍기 좋은 위치가 어디예요?,yeo-gi sa-jin-jjik-kki jo-eun wi-chi-ga eo-di-ye-yo?,Where is a good place to take pictures?,
27,1100highland,1100고지,3. Photo,2,Staff,산책로 중간에 목재 데크 전망대가 있어요. 경치 괜찮아요.,산책로 중간에 목재 데크 전망대가 있어요. 경치 괜찮아요.,san-chaeng-no jung-ga-ne mok-jjae de-keu jeon-mang-dae-ga i-sseo-yo. gyeong-chi gwaen-cha-na-yo.,There's a wooden deck observation deck in the middle of the trail. The view is great.,
28,1100highland,1100고지,3. Photo,3,Customer,"아, 그럼 거기까지 가려면 얼마나 걸려요?","아, 그럼 거기까지 가려면 얼마나 걸려요?","a, geu-reom geo-gi-kka-ji ga-ryeo-myeon eol-ma-na geol-lyeo-yo?","Oh, so how long does it take to get there?",
29,1100highland,1100고지,3. Photo,4,Staff,편도로 10분정도 걸려요.,편도로 10분정도 걸려요.,pyeon-do-ro 10bun-jeong-do geol-lyeo-yo.,It takes about 10 minutes one way.,
30,1100highland,1100고지,3. Photo,5,Customer,사진 좀 찍어 주실 수 있나요?,사진 좀 찍어 주실 수 있나요?,sa-jin jom jji-geo ju-sil su in-na-yo?,Could you please take a picture for me?,
31,1100highland,1100고지,3. Photo,6,Staff,"네, 찍어드릴게요.","네, 찍어드릴게요.","ne, jji-geo-deu-ril-ge-yo.","Yes, I'll take a picture for you.",
32,1100highland,1100고지,3. Photo,7,Customer,저 뒤에 습지 보이게 부탁드려요.,저 뒤에 습지 보이게 부탁드려요.,jeo dwi-e seup-jji bo-i-ge bu-tak-tteu-ryeo-yo.,Please show me the wetlands behind me.,
33,1100highland,1100고지,3. Photo,8,Staff,"네, 알겠습니다. 하나, 둘, 셋!","네, 알겠습니다. 하나, 둘, 셋!","ne, al-get-sseum-ni-da. ha-na, dul, set!","Yes, I understand. One, two, three!",
34,1100highland,1100고지,3. Photo,9,Customer,감사합니다.,감사합니다.,gam-sa-ham-ni-da.,Thank you,
35,1100highland,1100고지,4. Yahoo,1,Customer,"와, 경치 정말 좋네요. ""야~호~""","와, 경치 정말 좋네요. ""야~호~""","wa, gyeong-chi jeong-mal jo-ne-yo. ""ya~ho~""","Wow, the view is really nice. ""Ya~ho~""",
36,1100highland,1100고지,4. Yahoo,2,Staff,"어, 죄송한데 여기선 야호하면 안돼요. 동물들이 놀라요.","어, 죄송한데 여기선 야호하면 안돼요. 동물들이 놀라요.","eo, joe-song-han-de yeo-gi-seon ya-ho-ha-myeon an-dwae-yo. dong-mul-deu-ri nol-la-yo.","Oh, I'm sorry, but please don't shout here. It'll startle the animals.",
37,1100highland,1100고지,4. Yahoo,3,Customer,"아, 죄송합니다. 한국에서는 산에서 조용해야 하나요?","아, 죄송합니다. 한국에서는 산에서 조용해야 하나요?","a, joe-song-ham-ni-da. han-gu-ge-seo-neun sa-ne-seo jo-yong-hae-ya ha-na-yo?","Oh, sorry. In Korea, do you have to be quiet in the mountains?",
38,1100highland,1100고지,4. Yahoo,4,Staff,"네, 자연보호하고 다른 사람들도 있어서 크게 소리내지는 않아요.","네, 자연보호하고 다른 사람들도 있어서 크게 소리내지는 않아요.","ne, ja-yeon-bo-ho-ha-go da-reun sa-ram-deul-do i-sseo-seo keu-ge so-ri-nae-ji-neun a-na-yo.","Yes, we don't make a lot of noise because we are protecting nature and there are other people there.",
39,1100highland,1100고지,4. Yahoo,5,Customer,알겠습니다. 몰랐네요. 감사합니다.,알겠습니다. 몰랐네요. 감사합니다.,al-get-sseum-ni-da. mol-lan-ne-yo. gam-sa-ham-ni-da.,"Okay, I didn't know that. Thank you.",
40,1100highland,1100고지,5. Makgealli,1,Customer,"아, 힘드네요.","아, 힘드네요.","a, him-deu-ne-yo.","Oh, I'm tired.",
41,1100highland,1100고지,5. Makgealli,2,Staff,힘드시죠? 여기 막걸리 좀 드셔보실래요?,힘드시죠? 여기 막걸리 좀 드셔보실래요?,him-deu-si-jyo? yeo-gi mak-kkeol-li jom deu-syeo-bo-sil-lae-yo?,Are you tired? Would you like some makgeolli here?,
42,1100highland,1100고지,5. Makgealli,3,Customer,어? 막걸리요? 등산하면서 마셔도 돼요?,어? 막걸리요? 등산하면서 마셔도 돼요?,eo? mak-kkeol-li-yo? deung-san-ha-myeon-seo ma-syeo-do dwae-yo?,Huh? Makgeolli? Can I drink it while hiking?,
43,1100highland,1100고지,5. Makgealli,4,Staff,그럼요. 한국 사람들은 산ㄴ에서 막걸리 자주 마셔요. 조금만 드세요.,그럼요. 한국 사람들은 산ㄴ에서 막걸리 자주 마셔요. 조금만 드세요.,geu-reo-myo. han-guk sa-ram-deu-reun sanㄴe-seo mak-kkeol-li ja-ju ma-syeo-yo. jo-geum-man deu-se-yo.,Of course. Koreans often drink makgeolli in the mountains. Just drink a little.,
44,1100highland,1100고지,5. Makgealli,5,Customer,맛있네요. 조금 달짝지근하네요.,맛있네요. 조금 달짝지근하네요.,ma-sin-ne-yo. jo-geum dal-jjak-jji-geun-ha-ne-yo.,It's delicious. It's a little sweet.,
45,1100highland,1100고지,5. Makgealli,6,Staff,많이 마시면 알딸딸해져요. 여기 오이도 하나 드세요.,많이 마시면 알딸딸해져요. 여기 오이도 하나 드세요.,ma-ni ma-si-myeon al-ttal-ttal-hae-jyeo-yo. yeo-gi o-i-do ha-na deu-se-yo.,"If you drink too much, you'll get tipsy. Here, have a cucumber too.",
46,1100highland,1100고지,5. Makgealli,7,Customer,"네, 감사합니다. 근데 알딸딸이 뭐예요?","네, 감사합니다. 근데 알딸딸이 뭐예요?","ne, gam-sa-ham-ni-da. geun-de al-ttal-tta-ri mwo-ye-yo?","Yes, thank you. But what is altt ...",
47,1100highland,1100고지,5. Makgealli,8,Staff,"아, 약간 취기가 온다는 뜻이예요.","아, 약간 취기가 온다는 뜻이예요.","a, yak-kkan chwi-gi-ga on-da-neun tteu-si-ye-yo.","Oh, that means I'm a little tipsy.",
48,academy,학원,1. Class Consultation,1,Staff,안녕하세요. 어떤 수업 찾으세요?,안녕하세요. 어떤 수업 찾으세요?,an-nyeong-ha-se-yo. eo-tteon su-eop cha-jeu-se-yo?,Hello. What class are you looking for?,
49,academy,학원,1. Class Consultation,2,Customer,한국어 수업이요. 외국인인데 처음 배우려고요.,한국어 수업이요. 외국인인데 처음 배우려고요.,han-gu-geo su-eo-bi-yo. oe-gu-gi-nin-de cheo-eum bae-u-ryeo-go-yo.,This is a Korean class. I'm a foreigner and this is my first time learning.,
50,academy,학원,1. Class Consultation,3,Staff,저희 외국인 전용 한국어 과정이 있어요. 레벨 테스트 먼저 보셔야 해요.,저희 외국인 전용 한국어 과정이 있어요. 레벨 테스트 먼저 보셔야 해요.,jeo-hui oe-gu-gin jeo-nyong han-gu-geo gwa-jeong-i i-sseo-yo. re-bel te-seu-teu meon-jeo bo-syeo-ya hae-yo.,We have a Korean language course specifically for foreigners. You must take a level test first.,
51,academy,학원,1. Class Consultation,4,Customer,레벨 테스트는 무료예요?,레벨 테스트는 무료예요?,re-bel te-seu-teu-neun mu-ryo-ye-yo?,Is the level test free?,
52,academy,학원,1. Class Consultation,5,Staff,"네, 무료예요. 30분 정도 걸리고 바로 결과 나와요.","네, 무료예요. 30분 정도 걸리고 바로 결과 나와요.","ne, mu-ryo-ye-yo. 30bun jeong-do geol-li-go ba-ro gyeol-gwa na-wa-yo.","Yes, it's free. It takes about 30 minutes and you'll get results right away.",
53,academy,학원,1. Class Consultation,6,Customer,수업은 어떻게 진행돼요? 영어로 설명해주시나요?,수업은 어떻게 진행돼요? 영어로 설명해주시나요?,su-eo-beun eo-tteo-ke jin-haeng-dwae-yo? yeong-eo-ro seol-myeong-hae-ju-si-na-yo?,How is the class conducted? Do you explain it in English?,
54,academy,학원,1. Class Consultation,7,Staff,초급은 영어랑 한국어 섞어서 해요. 중급부터는 한국어로만 진행해요.,초급은 영어랑 한국어 섞어서 해요. 중급부터는 한국어로만 진행해요.,cho-geu-beun yeong-eo-rang han-gu-geo seo-kkeo-seo hae-yo. jung-geup-ppu-teo-neun han-gu-geo-ro-man jin-haeng-hae-yo.,"Beginner level is taught in a mix of English and Korean. From intermediate level onwards, it is taught solely in Korean.",
55,academy,학원,1. Class Consultation,8,Customer,반에 학생이 몇 명 정도예요?,반에 학생이 몇 명 정도예요?,ba-ne hak-ssaeng-i myeot myeong jeong-do-ye-yo?,How many students are in your class?,
56,academy,학원,1. Class Consultation,9,Staff,보통 여덟명에서 열두명이에요. 너무 많으면 수업 질이 떨어져서 제한하고 있어요.,보통 여덟명에서 열두명이에요. 너무 많으면 수업 질이 떨어져서 제한하고 있어요.,bo-tong yeo-deol-myeong-e-seo yeol-du-myeong-i-e-yo. neo-mu ma-neu-myeon su-eop ji-ri tteo-reo-jyeo-seo je-han-ha-go i-sseo-yo.,"Usually, there are eight to twelve students. If there are too many, the quality of the class deteriorates, so we limit the number.",
57,academy,학원,1. Class Consultation,10,Customer,알겠어요. 레벨 테스트 먼저 볼게요.,알겠어요. 레벨 테스트 먼저 볼게요.,al-ge-sseo-yo. re-bel te-seu-teu meon-jeo bol-ge-yo.,"Okay, I'll take the level test first.",
58,academy,학원,10. Completion/Graduation,1,Customer,수료증은 언제 받을 수 있어요?,수료증은 언제 받을 수 있어요?,su-ryo-jeung-eun eon-je ba-deul su i-sseo-yo?,When can I receive my certificate?,
59,academy,학원,10. Completion/Graduation,2,Staff,과정 끝나고 출석률 80% 이상이면 수료식 때 드려요.,과정 끝나고 출석률 80% 이상이면 수료식 때 드려요.,gwa-jeong kkeun-na-go chul-seong-nyul 80% i-sang-i-myeon su-ryo-sik ttae deu-ryeo-yo.,"If your attendance rate is 80% or higher after completing the course, you will receive a certificate at the graduation ceremony.",
60,academy,학원,10. Completion/Graduation,3,Customer,수료식은 언제예요?,수료식은 언제예요?,su-ryo-si-geun eon-je-ye-yo?,When is the graduation ceremony?,
61,academy,학원,10. Completion/Graduation,4,Staff,매 학기 마지막 주 금요일이에요. 가족이나 친구 초대하셔도 돼요.,매 학기 마지막 주 금요일이에요. 가족이나 친구 초대하셔도 돼요.,mae hak-kki ma-ji-mak ju geu-myo-i-ri-e-yo. ga-jo-gi-na chin-gu cho-dae-ha-syeo-do dwae-yo.,It's the last Friday of every semester. You can invite family or friends.,
62,academy,학원,10. Completion/Graduation,5,Customer,수료증에 뭐가 적혀 있어요?,수료증에 뭐가 적혀 있어요?,su-ryo-jeung-e mwo-ga jeo-kyeo i-sseo-yo?,What does the certificate say?,
63,academy,학원,10. Completion/Graduation,6,Staff,"이름, 수강 기간, 수료 레벨, 출석률이 적혀 있어요.","이름, 수강 기간, 수료 레벨, 출석률이 적혀 있어요.","i-reum, su-gang gi-gan, su-ryo re-bel, chul-seong-nyu-ri jeo-kyeo i-sseo-yo.","It lists your name, course period, completion level, and attendance rate.",
64,academy,학원,10. Completion/Graduation,7,Customer,취업할 때 도움이 돼요?,취업할 때 도움이 돼요?,chwi-eo-pal ttae do-u-mi dwae-yo?,Will it help me get a job?,
65,academy,학원,10. Completion/Graduation,8,Staff,TOPIK 점수랑 같이 내시면 좋아요. 한국어 학습 이력 증명이 돼요.,TOPIK 점수랑 같이 내시면 좋아요. 한국어 학습 이력 증명이 돼요.,TOPIK jeom-su-rang ga-chi nae-si-myeon jo-a-yo. han-gu-geo hak-sseup i-ryeok jeung-myeong-i dwae-yo.,It would be good to submit it along with your TOPIK score. It will prove your Korean language learning history.,
66,academy,학원,10. Completion/Graduation,9,Customer,영문 수료증도 받을 수 있어요?,영문 수료증도 받을 수 있어요?,yeong-mun su-ryo-jeung-do ba-deul su i-sseo-yo?,Can I also get an English certificate?,
67,academy,학원,10. Completion/Graduation,10,Staff,"네, 한글이랑 영문 두 개 다 드려요. 열심히 공부해서 좋은 결과 얻으세요.","네, 한글이랑 영문 두 개 다 드려요. 열심히 공부해서 좋은 결과 얻으세요.","ne, han-geu-ri-rang yeong-mun du gae da deu-ryeo-yo. yeol-sim-hi gong-bu-hae-seo jo-eun gyeol-gwa eo-deu-se-yo.","Yes, I'll give you both Korean and English. Study hard and get good results.",
68,academy,학원,2. Tuition/Registration,1,Customer,안녕하세요. 수강료가 얼마예요?,안녕하세요. 수강료가 얼마예요?,an-nyeong-ha-se-yo. su-gang-nyo-ga eol-ma-ye-yo?,Hello. How much is the tuition?,
69,academy,학원,2. Tuition/Registration,2,Staff,3개월 과정이 150만원이에요. 교재비는 별도로 5만원이고요.,삼개월 과정이 150만원이에요. 교재비는 별도로 5만원이고요.,sam-gae-wol gwa-jeong-i 150ma-nwo-ni-e-yo. gyo-jae-bi-neun byeol-do-ro 5ma-nwo-ni-go-yo.,"The three-month course costs 1.5 million won. Textbooks cost an additional 50,000 won.",
70,academy,학원,2. Tuition/Registration,3,Customer,할인 받을 수 있는 방법 있어요?,할인 받을 수 있는 방법 있어요?,ha-rin ba-deul su in-neun bang-beop i-sseo-yo?,Is there any way I can get a discount?,
71,academy,학원,2. Tuition/Registration,4,Staff,6개월 등록하시면 10% 할인해드려요. 친구 소개하시면 5만원 추가 할인이에요.,육개월 등록하시면 10% 할인해드려요. 친구 소개하시면 5만원 추가 할인이에요.,yuk-kkae-wol deung-no-ka-si-myeon 10% ha-rin-hae-deu-ryeo-yo. chin-gu so-gae-ha-si-myeon 5ma-nwon chu-ga ha-ri-ni-e-yo.,"Sign up for 6 months and get a 10% discount. Refer a friend and get an additional 50,000 won off.",
72,academy,학원,2. Tuition/Registration,5,Customer,분할 납부도 가능해요?,분할 납부도 가능해요?,bun-hal nap-ppu-do ga-neung-hae-yo?,Is it possible to pay in installments?,
73,academy,학원,2. Tuition/Registration,6,Staff,"네, 카드로 3개월 무이자 할부 돼요.","네, 카드로 삼개월 무이자 할부 돼요.","ne, ka-deu-ro sam-gae-wol mu-i-ja hal-bu dwae-yo.","Yes, you can pay in 3 interest-free installments by credit card.",
74,academy,학원,2. Tuition/Registration,7,Customer,환불 규정은 어떻게 돼요?,환불 규정은 어떻게 돼요?,hwan-bul gyu-jeong-eun eo-tteo-ke dwae-yo?,What is the refund policy?,
75,academy,학원,2. Tuition/Registration,8,Staff,수업 시작 전에는 전액 환불이에요. 시작 후에는 남은 기간에 비례해서 환불해드려요.,수업 시작 전에는 전액 환불이에요. 시작 후에는 남은 기간에 비례해서 환불해드려요.,su-eop si-jak jeo-ne-neun jeo-naek hwan-bu-ri-e-yo. si-jak hu-e-neun na-meun gi-ga-ne bi-rye-hae-seo hwan-bul-hae-deu-ryeo-yo.,"Full refunds are available before classes begin. After classes begin, refunds are prorated based on the remaining period.",
76,academy,학원,2. Tuition/Registration,9,Customer,그럼 6개월로 등록할게요.,그럼 육개월로 등록할게요.,geu-reom yuk-kkae-wol-lo deung-no-kal-ge-yo.,Then I'll register for 6 months.,
77,academy,학원,2. Tuition/Registration,10,Staff,좋아요. 여권이랑 비자 사본 준비해주세요. 등록 서류 작성해드릴게요.,좋아요. 여권이랑 비자 사본 준비해주세요. 등록 서류 작성해드릴게요.,jo-a-yo. yeo-gwo-ni-rang bi-ja sa-bon jun-bi-hae-ju-se-yo. deung-nok seo-ryu jak-sseong-hae-deu-ril-ge-yo.,Okay. Please prepare copies of your passport and visa. I'll fill out the registration form for you.,
78,academy,학원,3. Visa Documents,1,Customer,안녕하세요. 비자 연장에 필요한 서류 발급해주세요.,안녕하세요. 비자 연장에 필요한 서류 발급해주세요.,an-nyeong-ha-se-yo. bi-ja yeon-jang-e pi-ryo-han seo-ryu bal-geu-pae-ju-se-yo.,Hello. Please issue the documents required for visa extension.,
79,academy,학원,3. Visa Documents,2,Staff,D-4 비자시죠? 출석확인서랑 재학증명서 필요하세요?,D-4 비자시죠? 출석확인서랑 재학증명서 필요하세요?,D-4 bi-ja-si-jyo? chul-seo-kwa-gin-seo-rang jae-hak-jjeung-myeong-seo pi-ryo-ha-se-yo?,"You have a D-4 visa, right? Do you need an attendance certificate and a certificate of enrollment?",
80,academy,학원,3. Visa Documents,3,Customer,"네, 둘 다요. 출입국관리소에 내야 해요.","네, 둘 다요. 출입국관리소에 내야 해요.","ne, dul da-yo. chu-rip-kkuk-kkwal-li-so-e nae-ya hae-yo.","Yes, both. You have to submit them to the immigration office.",
81,academy,학원,3. Visa Documents,4,Staff,출석률이 80% 이상이셔야 발급 가능해요. 확인해볼게요.,출석률이 80% 이상이셔야 발급 가능해요. 확인해볼게요.,chul-seong-nyu-ri 80% i-sang-i-syeo-ya bal-geup ga-neung-hae-yo. hwa-gin-hae-bol-ge-yo.,You need an attendance rate of 80% or higher to receive it. I'll check.,
82,academy,학원,3. Visa Documents,5,Customer,제 출석률 얼마예요?,제 출석률 얼마예요?,je chul-seong-nyul eol-ma-ye-yo?,What is my attendance rate?,
83,academy,학원,3. Visa Documents,6,Staff,92%예요. 충분하시네. 서류 발급해드릴게요.,92%예요. 충분하시네. 서류 발급해드릴게요.,92%ye-yo. chung-bun-ha-si-ne. seo-ryu bal-geu-pae-deu-ril-ge-yo.,92%. That's sufficient. I'll issue you the documents.,
84,academy,학원,3. Visa Documents,7,Customer,발급비 있어요?,발급비 있어요?,bal-geup-ppi i-sseo-yo?,Is there an issuance fee?,
85,academy,학원,3. Visa Documents,8,Staff,"재학증명서는 무료고요, 출석확인서는 장당 천 원이에요.","재학증명서는 무료고요, 출석확인서는 장당 천 원이에요.","jae-hak-jjeung-myeong-seo-neun mu-ryo-go-yo, chul-seo-kwa-gin-seo-neun jang-dang cheon wo-ni-e-yo.","The certificate of enrollment is free, but the attendance certificate costs 1,000 won each.",
86,academy,학원,3. Visa Documents,9,Customer,영문으로도 받을 수 있어요?,영문으로도 받을 수 있어요?,yeong-mu-neu-ro-do ba-deul su i-sseo-yo?,Can I get it in English too?,
87,academy,학원,3. Visa Documents,10,Staff,"네, 한글이랑 영문 둘 다 드릴게요. 잠시만 기다려주세요.","네, 한글이랑 영문 둘 다 드릴게요. 잠시만 기다려주세요.","ne, han-geu-ri-rang yeong-mun dul da deu-ril-ge-yo. jam-si-man gi-da-ryeo-ju-se-yo.","Yes, I'll give you both Korean and English. Please wait a moment.",
88,academy,학원,4. Class Schedule,1,Customer,안녕하세요. 수업 시간이 어떻게 돼요?,안녕하세요. 수업 시간이 어떻게 돼요?,an-nyeong-ha-se-yo. su-eop si-ga-ni eo-tteo-ke dwae-yo?,Hello. What are the class times?,
89,academy,학원,4. Class Schedule,2,Staff,"오전반은 아홉시부터 오후 한시까지고요, 오후반은 두시부터 여섯시까지예요.","오전반은 아홉시부터 오후 한시까지고요, 오후반은 두시부터 여섯시까지예요.","o-jeon-ba-neun a-hop-ssi-bu-teo o-hu han-si-kka-ji-go-yo, o-hu-ba-neun du-si-bu-teo yeo-seot-ssi-kka-ji-ye-yo.","The morning shift is from nine to one, and the afternoon shift is from two to six.",
90,academy,학원,4. Class Schedule,3,Customer,저녁반은 없어요?,저녁반은 없어요?,jeo-nyeok-ppa-neun eop-seo-yo?,Is there no evening class?,
91,academy,학원,4. Class Schedule,4,Staff,"있어요. 일곱시부터 아홉시까지인데요, 비자 학생은 안 되고 일반 수강생만 가능해요.","있어요. 일곱시부터 아홉시까지인데요, 비자 학생은 안 되고 일반 수강생만 가능해요.","i-sseo-yo. il-gop-ssi-bu-teo a-hop-ssi-kka-ji-in-de-yo, bi-ja hak-ssaeng-eun an doe-go il-ban su-gang-saeng-man ga-neung-hae-yo.","Yes. It's from 7 to 9, and only regular students can attend, not visa students.",
92,academy,학원,4. Class Schedule,5,Customer,왜 비자 학생은 안 돼요?,왜 비자 학생은 안 돼요?,wae bi-ja hak-ssaeng-eun an dwae-yo?,Why not visa students?,
93,academy,학원,4. Class Schedule,6,Staff,D-4 비자는 하루 네시간 이상 수업 들어야 해서요. 저녁반은 두시간이라 인정이 안 돼요.,D-4 비자는 하루 네시간 이상 수업 들어야 해서요. 저녁반은 두시간이라 인정이 안 돼요.,D-4 bi-ja-neun ha-ru ne-si-gan i-sang su-eop deu-reo-ya hae-seo-yo. jeo-nyeok-ppa-neun du-si-ga-ni-ra in-jeong-i an dwae-yo.,"The D-4 visa requires at least four hours of class per day. Evening classes are only two hours long, so they're not recognized.",
