장소타입,시나리오,대화순서,화자,중국어,한국어,병음,단어,,
hospital,3. 检查化验 (검사),7,护士,下午3点可以取报告。,오후 3시에 리포트 받을 수 있어요.,xiàwǔ sān diǎn kěyǐ qǔ bàogào,取=받다 | 报告=리포트,,
hospital,4. 取药付款 (약 받기),1,病人,你好，我来取药。,안녕하세요 약 받으러 왔어요.,"nǐhǎo, wǒ lái qǔyào",取药=약받다,,
hospital,4. 取药付款 (약 받기),2,药师,请出示处方单。,처방전 보여주세요.,qǐng chūshì chǔfāngdān,处方单=처방전 | 药师=약사,,
hospital,4. 取药付款 (약 받기),3,病人,给你。多少钱？,여기요. 얼마예요?,gěi nǐ. duōshao qián?,,,
hospital,4. 取药付款 (약 받기),4,药师,一共86元。,전부 86위안이에요.,yīgòng bāshíliù yuán,一共=전부,,
hospital,4. 取药付款 (약 받기),5,病人,可以刷医保卡吗？,의료보험카드 결제 가능한가요?,kěyǐ shuā yībǎokǎ ma?,刷=결제하다,,
hospital,4. 取药付款 (약 받기),6,药师,可以。这是药，每天三次，饭后服用。,"가능해요. 이게 약이에요. 하루 3번, 식후 복용하세요.","kěyǐ. zhè shì yào, měitiān sān cì, fànhòu fúyòng",每天=매일 | 次=번 | 饭后=식후 | 服用=복용,,
hospital,4. 取药付款 (약 받기),7,病人,好的，谢谢。,"네, 감사합니다.","hǎo de, xièxie",谢谢=감사합니다,,
restaurant,1. 进店点餐 (입점 주문),1,客人,你好，有位置吗？,안녕하세요 자리 있나요?,"nǐhǎo, yǒu wèizhi ma?",位置=자리,,
restaurant,1. 进店点餐 (입점 주문),2,服务员,有的，请问几位？,있어요. 몇 분이세요?,"yǒu de, qǐngwèn jǐ wèi?",服务员=직원,,
restaurant,1. 进店点餐 (입점 주문),3,客人,两位。,2명이요.,liǎng wèi,,,
restaurant,1. 进店点餐 (입점 주문),4,服务员,请跟我来。这边请坐。,따라오세요. 여기 앉으세요.,qǐng gēn wǒ lái. zhèbiān qǐng zuò,跟=따라가다,,
restaurant,1. 进店点餐 (입점 주문),5,客人,请给我菜单。,메뉴판 주세요.,qǐng gěi wǒ càidān,菜单=메뉴판,,
restaurant,1. 进店点餐 (입점 주문),6,服务员,这是菜单。要喝点什么吗？,메뉴판이에요. 음료 드실래요?,zhè shì càidān. yào hē diǎn shénme ma?,喝=마시다,,
restaurant,1. 进店点餐 (입점 주문),7,客人,先来两杯茶。我们看看菜单。,먼저 차 2잔 주세요. 메뉴 볼게요.,xiān lái liǎng bēi chá. wǒmen kànkan càidān,杯=잔 | 茶=차 | 先=먼저,,
restaurant,2. 点菜咨询 (주문 상담),1,客人,你们的招牌菜是什么？,여기 시그니처 메뉴가 뭐예요?,nǐmen de zhāopáicài shì shénme?,招牌菜=시그니처메뉴,,
restaurant,2. 点菜咨询 (주문 상담),2,服务员,红烧肉和糖醋鱼很受欢迎。,홍샤오러우와 탕추위가 인기 많아요.,hóngshāoròu hé tángcùyú hěn shòu huānyíng,红烧肉=홍샤오러우 | 糖醋鱼=탕추위 | 受欢迎=인기많다,,
restaurant,2. 点菜咨询 (주문 상담),3,客人,辣吗？,매워요?,là ma?,辣=맵다,,
restaurant,2. 点菜咨询 (주문 상담),4,服务员,红烧肉不辣，糖醋鱼是酸甜的。,홍샤오러우는 안 매워요. 탕추위는 새콤달콤해요.,"hóngshāoròu bù là, tángcùyú shì suāntiánde",酸=시다 | 甜=달다,,
restaurant,2. 点菜咨询 (주문 상담),5,客人,那来一份红烧肉，一份宫保鸡丁。,"그럼 홍샤오러우 1인분, 궁바오지딩 1인분 주세요.","nà lái yī fèn hóngshāoròu, yī fèn gōngbǎo jīdīng",份=인분 | 宫保鸡丁=궁바오지딩,,
restaurant,2. 点菜咨询 (주문 상담),6,服务员,要主食吗？米饭还是面条？,주식 드실래요? 밥이요 면이요?,yào zhǔshí ma? mǐfàn háishi miàntiáo?,主食=주식 | 米饭=밥 | 面条=면,,
restaurant,2. 点菜咨询 (주문 상담),7,客人,两碗米饭。,밥 2그릇이요.,liǎng wǎn mǐfàn,碗=그릇,,
restaurant,3. 用餐过程 (식사중),1,服务员,您的菜好了。请慢用。,음식 나왔어요. 맛있게 드세요.,nín de cài hǎo le. qǐng mànyòng,慢用=맛있게드세요,,
restaurant,3. 用餐过程 (식사중),2,客人,谢谢。请给我们一些纸巾。,감사해요. 휴지 좀 주세요.,xièxie. qǐng gěi wǒmen yīxiē zhǐjīn,纸巾=휴지 | 一些=좀,,
restaurant,3. 用餐过程 (식사중),3,服务员,好的，马上来。,"네, 바로 가져올게요.","hǎo de, mǎshàng lái",马上=바로,,
restaurant,3. 用餐过程 (식사중),4,客人,菜有点咸，能换一份吗？,음식이 좀 짠데 바꿀 수 있나요?,"cài yǒudiǎn xián, néng huàn yī fèn ma?",咸=짜다 | 换=바꾸다,,
restaurant,3. 用餐过程 (식사중),5,服务员,对不起，我马上给您换。,죄송해요. 바로 바꿔드릴게요.,"duìbuqǐ, wǒ mǎshàng gěi nín huàn",对不起=미안합니다,,
restaurant,3. 用餐过程 (식사중),6,客人,能再来一碗米饭吗？,밥 한 그릇 더 가능할까요?,néng zài lái yī wǎn mǐfàn ma?,再=다시,,
restaurant,3. 用餐过程 (식사중),7,服务员,当然可以，稍等。,물론이죠. 잠시만요.,"dāngrán kěyǐ, shāoděng",稍等=잠시만,,
restaurant,4. 结账离开 (계산),1,客人,服务员，买单。,"직원님, 계산이요.","fúwùyuán, mǎidān",买单=계산하다,,
restaurant,4. 结账离开 (계산),2,服务员,好的。一共268元。,네. 전부 268위안이에요.,hǎo de. yīgòng èrbǎi liùshíbā yuán,,,
restaurant,4. 结账离开 (계산),3,客人,可以刷卡吗？,카드 가능한가요?,kěyǐ shuākǎ ma?,刷卡=카드결제,,
restaurant,4. 结账离开 (계산),4,服务员,可以，也可以扫码支付。,가능해요. 스캔 결제도 돼요.,"kěyǐ, yě kěyǐ sǎomǎ zhīfù",扫码=스캔 | 支付=결제,,
restaurant,4. 结账离开 (계산),5,客人,用微信支付。,위챗페이로 할게요.,yòng wēixìn zhīfù,微信=위챗,,
restaurant,4. 结账离开 (계산),6,服务员,好的。这是发票。,네. 영수증이에요.,hǎo de. zhè shì fāpiào,发票=영수증,,
restaurant,4. 结账离开 (계산),7,客人,谢谢，菜很好吃。,감사해요. 음식 맛있었어요.,"xièxie, cài hěn hǎochī",好吃=맛있다,,
police,1. 报警求助 (신고),1,市民,你好，我想报警。,안녕하세요 신고하려고요.,"nǐhǎo, wǒ xiǎng bàojǐng",报警=신고하다 | 市民=시민,,
police,1. 报警求助 (신고),2,警察,发生什么事了？,무슨 일이에요?,fāshēng shénme shì le?,发烧=발생 | 警察=경찰,,
police,1. 报警求助 (신고),3,市民,我的钱包丢了。,지갑을 잃어버렸어요.,wǒ de qiánbāo diū le,钱包=지갑 | 丢=잃다,,
police,1. 报警求助 (신고),4,警察,什么时候？在哪里？,언제? 어디서?,shénme shíhou? zài nǎlǐ?,,,
police,1. 报警求助 (신고),5,市民,一小时前，在超市。,1시간 전에 슈퍼에서요.,"yī xiǎoshí qián, zài chāoshì",小时=시간 | 超市=슈퍼,,
police,1. 报警求助 (신고),6,警察,钱包里有什么？,지갑에 뭐가 있었나요?,qiánbāo lǐ yǒu shénme?,,,
police,1. 报警求助 (신고),7,市民,有身份证、银行卡和2000块钱。,"신분증, 은행카드, 2000위안이요.","yǒu shēnfènzhèng, yínhángkǎ hé liǎngqiān kuài qián",银行卡=은행카드 | 块=위안,,
police,2. 做笔录 (조서작성),1,警察,请详细说一下情况。,상황을 자세히 말씀해주세요.,qǐng xiángxì shuō yīxià qíngkuàng,详细=자세히 | 情况=상황,,
police,2. 做笔录 (조서작성),2,市民,我在超市买东西，付款后发现钱包不见了。,슈퍼에서 물건 사고 결제 후에 지갑이 없어진 걸 발견했어요.,"wǒ zài chāoshì mǎi dōngxi, fùkuǎn hòu fāxiàn qiánbāo bújiàn le",付款=결제 | 发现=발견 | 不见=없어지다,,
police,2. 做笔录 (조서작성),3,警察,记得在哪个收银台吗？,어느 계산대인지 기억나세요?,jìde zài nǎge shōuyíntái ma?,记得=기억나다 | 收银台=계산대,,
police,2. 做笔录 (조서작성),4,市民,3号收银台。,3번 계산대요.,sān hào shōuyíntái,,,
police,2. 做笔录 (조서작성),5,警察,请写一下您的联系方式。,연락처 적어주세요.,qǐng xiě yīxià nín de liánxì fāngshì,联系方式=연락처,,
police,2. 做笔录 (조서작성),6,市民,这是我的电话号码。,제 전화번호예요.,zhè shì wǒ de diànhuà hàomǎ,电话=전화 | 号码=번호,,
police,2. 做笔录 (조서작성),7,警察,我们会调查监控录像。,CCTV 영상을 조사할게요.,wǒmen huì diàochá jiānkòng lùxiàng,调查=조사 | 监控=CCTV | 录像=영상,,
police,3. 办理证明 (증명서 발급),1,市民,我需要办理报案证明。,신고 증명서 발급받아야 해요.,wǒ xūyào bànlǐ bào'àn zhèngmíng,办理=발급 | 报案=신고 | 证明=증명서,,
police,3. 办理证明 (증명서 발급),2,警察,为什么需要证明？,왜 증명서가 필요하세요?,wèishénme xūyào zhèngmíng?,为什么=왜,,
police,3. 办理证明 (증명서 발급),3,工作人员,需要补办银行卡。,은행카드 재발급받아야 해요.,xūyào bǔbàn yínhángkǎ,补办=재발급,,
police,3. 办理证明 (증명서 발급),4,警察,请填写这份申请表。,이 신청서 작성해주세요.,qǐng tiánxiě zhè fèn shēnqǐngbiǎo,填写=작성 | 申请表=신청서,,
police,3. 办理证明 (증명서 발급),5,市民,需要交费吗？,비용 내야 하나요?,xūyào jiāofèi ma?,交费=비용내다,,
police,3. 办理证明 (증명서 발급),6,警察,不需要。大约15分钟就好。,필요 없어요. 약 15분이면 돼요.,bù xūyào. dàyuē shíwǔ fēnzhōng jiù hǎo,大约=약,,
police,3. 办理证明 (증명서 발급),7,市民,好的，谢谢警察同志。,"네, 감사합니다 경찰님.","hǎo de, xièxie jǐngchá tóngzhì",同志=동지(호칭),,
police,4. 取回失物 (분실물 찾기),1,市民,你好，我来问一下失物招领。,안녕하세요 분실물 문의하려고요.,"nǐhǎo, wǒ lái wèn yīxià shīwù zhāolǐng",失物招领=분실물찾기,,
police,4. 取回失物 (분실물 찾기),2,警察,丢了什么东西？,뭘 잃어버리셨어요?,diū le shénme dōngxi?,东西=물건,,
police,4. 取回失物 (분실물 찾기),3,工作人员,一个黑色的背包。,검은색 백팩이요.,yī ge hēisè de bèibāo,黑色=검은색 | 背包=백팩,,
police,4. 取回失物 (분실물 찾기),4,警察,什么时候丢的？,언제 잃어버렸어요?,shénme shíhou diū de?,,,
police,4. 取回失物 (분실물 찾기),5,工作人员,昨天下午，在公园。,어제 오후에 공원에서요.,"zuótiān xiàwǔ, zài gōngyuán",昨天=어제 | 下午=오후 | 公园=공원,,
police,4. 取回失物 (분실물 찾기),6,警察,里面有什么可以证明的东西吗？,안에 증명할 수 있는 게 있나요?,lǐmiàn yǒu shénme kěyǐ zhèngmíng de dōngxi ma?,里面=안 | 证明=증명하다,,
police,4. 取回失物 (분실물 찾기),7,市民,有一本笔记本，上面有我的名字。,노트 한 권이 있고 제 이름이 써있어요.,"yǒu yī běn bǐjìběn, shàngmiàn yǒu wǒ de míngzi",笔记本=노트 | 名字=이름,,
bank,1. 开户办卡 (계좌개설),1,顾客,你好，我想开户。,안녕하세요 계좌 개설하려고요.,"nǐhǎo, wǒ xiǎng kāihù",开户=계좌개설 | 客户=고객,,
bank,1. 开户办卡 (계좌개설),2,工作人员,储蓄卡还是信用卡？,저축카드인가요 신용카드인가요?,chǔxùkǎ háishi xìnyòngkǎ?,储蓄卡=저축카드 | 信用卡=신용카드 | 职员=직원,,
bank,1. 开户办卡 (계좌개설),3,顾客,储蓄卡。,저축카드요.,chǔxùkǎ,,,
bank,1. 开户办卡 (계좌개설),4,工作人员,请出示身份证和护照。,신분증과 여권 보여주세요.,qǐng chūshì shēnfènzhèng hé hùzhào,护照=여권,,
bank,1. 开户办卡 (계좌개설),5,顾客,这是我的证件。,여기 제 증명서예요.,zhè shì wǒ de zhèngjiàn,证件=증명서,,
bank,1. 开户办卡 (계좌개설),6,工作人员,请填写这份申请表。,이 신청서 작성해주세요.,qǐng tiánxiě zhè fèn shēnqǐngbiǎo,,,
bank,1. 开户办卡 (계좌개설),7,顾客,需要存多少钱？,얼마 입금해야 하나요?,xūyào cún duōshao qián?,存=입금하다,,
bank,2. 存取款 (입출금),1,顾客,我要存钱。,입금하려고요.,wǒ yào cúnqián,存钱=입금,,
bank,2. 存取款 (입출금),2,工作人员,存多少？,얼마 입금하세요?,cún duōshao?,,,
bank,2. 存取款 (입출금),3,顾客,5000元现金。,현금 5000위안이요.,wǔqiān yuán xiànjīn,现金=현금,,
bank,2. 存取款 (입출금),4,工作人员,请出示银行卡。,은행카드 보여주세요.,qǐng chūshì yínhángkǎ,,,
bank,2. 存取款 (입출금),5,顾客,给你。需要密码吗？,여기요. 비밀번호 필요한가요?,gěi nǐ. xūyào mìmǎ ma?,密码=비밀번호,,
bank,2. 存取款 (입출금),6,工作人员,不需要。请在这里签字。,필요 없어요. 여기 서명해주세요.,bù xūyào. qǐng zài zhèlǐ qiānzì,签字=서명,,
bank,2. 存取款 (입출금),7,顾客,好的。,네.,hǎo de,,,
bank,3. 转账汇款 (송금),1,顾客,我要转账。,송금하려고요.,wǒ yào zhuǎnzhàng,转账=송금,,
bank,3. 转账汇款 (송금),2,工作人员,国内还是国际？,국내인가요 해외인가요?,guónèi háishi guójì?,国内=국내 | 国际=해외,,
bank,3. 转账汇款 (송금),3,顾客,国际，转到韩国。,해외요. 한국으로요.,"guójì, zhuǎn dào hánguó",韩国=한국,,
bank,3. 转账汇款 (송금),4,工作人员,请提供收款人账号和姓名。,받는 분 계좌번호와 이름 알려주세요.,qǐng tígōng shōukuǎnrén zhànghào hé xìngmíng,收款人=받는사람 | 账号=계좌번호 | 姓名=성명,,
bank,3. 转账汇款 (송금),5,顾客,这是账号信息。,계좌 정보예요.,zhè shì zhànghào xìnxī,信息=정보,,
bank,3. 转账汇款 (송금),6,工作人员,手续费是汇款金额的1%。,수수료는 송금액의 1%예요.,shǒuxùfèi shì huìkuǎn jīn'é de bǎifēnzhī yī,手续费=수수료 | 金额=금액,,
bank,3. 转账汇款 (송금),7,顾客,大概几天能到？,대략 며칠이면 도착하나요?,dàgài jǐ tiān néng dào?,到=도착하다,,
bank,4. 挂失补卡 (분실신고),1,顾客,我的银行卡丢了，要挂失。,은행카드 잃어버려서 분실신고하려고요.,"wǒ de yínhángkǎ diū le, yào guàshī",挂失=분실신고,,
bank,4. 挂失补卡 (분실신고),2,工作人员,请提供身份证和账户信息。,신분증과 계좌 정보 알려주세요.,qǐng tígōng shēnfènzhèng hé zhànghù xìnxī,账户=계좌,,
bank,4. 挂失补卡 (분실신고),3,顾客,这是我的身份证。,제 신분증이에요.,zhè shì wǒ de shēnfènzhèng,,,
bank,4. 挂失补卡 (분실신고),4,工作人员,记得卡号吗？,카드번호 기억나세요?,jìde kǎhào ma?,卡号=카드번호,,
bank,4. 挂失补卡 (분실신고),5,顾客,不记得了。,기억 안 나요.,bù jìde le,,,
bank,4. 挂失补卡 (분실신고),6,工作人员,没关系，我们能查到。补卡需要15元工本费。,괜찮아요. 저희가 찾을 수 있어요. 재발급 수수료 15위안이에요.,"méi guānxi, wǒmen néng chádào. bǔkǎ xūyào shíwǔ yuán gōngběnfèi",没关系=괜찮다 | 查到=찾다 | 工本费=수수료,,
bank,4. 挂失补卡 (분실신고),7,顾客,好的。多久能拿到新卡？,네. 새 카드 언제 받을 수 있어요?,hǎo de. duōjiǔ néng nádào xīnkǎ?,拿到=받다,,
golf,1. 预约场地 (예약),1,客人,你好，我想预约打球。,안녕하세요 골프 예약하려고요.,"nǐhǎo, wǒ xiǎng yùyuē dǎqiú",预约=예약 | 打球=골프치다,,
golf,1. 预约场地 (예약),2,工作人员,什么时候？几位？,언제요? 몇 분이세요?,shénme shíhou? jǐ wèi?,工作人员=직원,,
golf,1. 预约场地 (예약),3,客人,明天上午，四位。,"내일 오전, 4명이요.","míngtiān shàngwǔ, sì wèi",上午=오전,,
golf,1. 预约场地 (예약),4,工作人员,9点的有位置。,9시 자리 있어요.,jiǔ diǎn de yǒu wèizhi,,,
golf,1. 预约场地 (예약),5,客人,多少钱？包括球车吗？,얼마예요? 카트 포함이에요?,duōshao qián? bāokuò qiúchē ma?,包括=포함 | 球车=골프카트,,
golf,1. 预约场地 (예약),6,工作人员,18洞800元，球车另算。,18홀 800위안이고 카트는 별도예요.,"shíbā dòng bābǎi yuán, qiúchē lìng suàn",洞=홀 | 另算=별도,,
golf,1. 预约场地 (예약),7,客人,好的，帮我预约。,"네, 예약해주세요.","hǎo de, bāng wǒ yùyuē",帮=돕다,,
golf,2. 租赁装备 (장비대여),1,客人,我需要租球杆。,골프채 빌리고 싶어요.,wǒ xūyào zū qiúgān,租=빌리다 | 球杆=골프채,,
golf,2. 租赁装备 (장비대여),2,工作人员,男士还是女士用？,남성용인가요 여성용인가요?,nánshì háishi nǚshì yòng?,男士=남성 | 女士=여성,,
golf,2. 租赁装备 (장비대여),3,客人,男士用的。,남성용이요.,nánshì yòng de,,,
golf,2. 租赁装备 (장비대여),4,工作人员,租金是100元，需要押金500元。,대여료 100위안이고 보증금 500위안이에요.,"zūjīn shì yībǎi yuán, xūyào yājīn wǔbǎi yuán",租金=대여료 | 押金=보증금,,
golf,2. 租赁装备 (장비대여),5,客人,还需要租鞋吗？,신발도 빌려야 하나요?,hái xūyào zū xié ma?,鞋=신발,,
golf,2. 租赁装备 (장비대여),6,工作人员,建议租，防滑效果好。,빌리시는 걸 추천해요. 미끄럼방지가 좋아요.,"jiànyì zū, fánghuá xiàoguǒ hǎo",建议=추천 | 防滑=미끄럼방지 | 效果=효과,,
golf,2. 租赁装备 (장비대여),7,客人,那也租一双。,그럼 신발도 한 켤레 빌릴게요.,nà yě zū yī shuāng,双=켤레,,
golf,3. 练习场 (연습장),1,客人,练习场在哪里？,연습장이 어디예요?,liànxíchǎng zài nǎlǐ?,练习场=연습장,,
golf,3. 练习场 (연습장),2,工作人员,在二楼，请坐电梯。,2층이에요. 엘리베이터 타세요.,"zài èr lóu, qǐng zuò diàntī",电梯=엘리베이터,,
golf,3. 练习场 (연습장),3,客人,练习球多少钱？,연습공 얼마예요?,liànxíqiú duōshao qián?,练习球=연습공,,
golf,3. 练习场 (연습장),4,工作人员,50个球30元。,50개에 30위안이에요.,wǔshí ge qiú sānshí yuán,个=개,,
golf,3. 练习场 (연습장),5,客人,可以教练陪练吗？,코치 레슨 가능한가요?,kěyǐ jiàoliàn péiliàn ma?,教练=코치 | 陪练=함께연습,,
golf,3. 练习场 (연습장),6,工作人员,可以，一小时200元。,가능해요. 1시간에 200위안이에요.,"kěyǐ, yī xiǎoshí èrbǎi yuán",,,
golf,3. 练习场 (연습장),7,客人,好的，我要预约教练。,"네, 코치 예약할게요.","hǎo de, wǒ yào yùyuē jiàoliàn",,,
golf,4. 会所服务 (클럽하우스),1,客人,有更衣室吗？,탈의실 있나요?,yǒu gēngyīshì ma?,更衣室=탈의실,,
golf,4. 会所服务 (클럽하우스),2,工作人员,有的，在一楼左边。,있어요. 1층 왼쪽이에요.,"yǒu de, zài yī lóu zuǒbiān",左边=왼쪽,,
golf,4. 会所服务 (클럽하우스),3,客人,有储物柜吗？,사물함 있나요?,yǒu chǔwùguì ma?,储物柜=사물함,,
golf,4. 会所服务 (클럽하우스),4,工作人员,有，钥匙押金20元。,있어요. 열쇠 보증금 20위안이에요.,"yǒu, yàoshi yājīn èrshí yuán",钥匙=열쇠,,
golf,4. 会所服务 (클럽하우스),5,客人,有餐厅吗？,레스토랑 있나요?,yǒu cāntīng ma?,餐厅=레스토랑,,
golf,4. 会所服务 (클럽하우스),6,工作人员,有，提供午餐和晚餐。,있어요. 점심과 저녁 제공해요.,"yǒu, tígōng wǔcān hé wǎncān",提供=제공 | 午餐=점심 | 晚餐=저녁,,
golf,4. 会所服务 (클럽하우스),7,客人,太好了，谢谢。,좋네요. 감사해요.,"tài hǎo le, xièxie",太~了=너무~하다,,
massage,1. 预约服务 (예약),1,客人,你好，有空位吗？,안녕하세요 자리 있나요?,"nǐhǎo, yǒu kòngwèi ma?",空位=빈자리,,
massage,1. 预约服务 (예약),2,技师,有的。要什么项目？,있어요. 어떤 서비스 원하세요?,yǒu de. yào shénme xiàngmù?,项目=항목 | 技师=테라피스트,,
massage,1. 预约服务 (예약),3,客人,全身按摩。,전신 마사지요.,quánshēn ànmó,全身=전신 | 按摩=마사지,,
massage,1. 预约服务 (예약),4,技师,60分钟还是90分钟？,60분인가요 90분인가요?,liùshí fēnzhōng háishi jiǔshí fēnzhōng?,分钟=분,,
massage,1. 预约服务 (예약),5,客人,90分钟。多少钱？,90분요. 얼마예요?,jiǔshí fēnzhōng. duōshao qián?,,,
massage,1. 预约服务 (예약),6,技师,280元。请换衣服。,280위안이에요. 옷 갈아입으세요.,èrbǎi bāshí yuán. qǐng huàn yīfu,换=갈아입다 | 衣服=옷,,
massage,1. 预约服务 (예약),7,客人,好的。,네.,hǎo de,,,
massage,2. 服务过程 (시술중),1,技师,力度怎么样？,강도가 어때요?,lìdù zěnmeyàng?,力度=강도,,
massage,2. 服务过程 (시술중),2,客人,有点轻，可以重一点。,좀 약해요. 더 세게 해주세요.,"yǒudiǎn qīng, kěyǐ zhòng yīdiǎn",轻=약하다 | 重=세다,,
massage,2. 服务过程 (시술중),3,技师,好的。这里酸吗？,네. 여기 뭉쳤나요?,hǎo de. zhèlǐ suān ma?,酸=뭉치다,,
massage,2. 服务过程 (시술중),4,客人,是的，肩膀很酸。,"네, 어깨가 많이 뭉쳤어요.","shì de, jiānbǎng hěn suān",肩膀=어깨,,
massage,2. 服务过程 (시술중),5,技师,我帮你按开。,풀어드릴게요.,wǒ bāng nǐ àn kāi,按开=풀다,,
massage,2. 服务过程 (시술중),6,客人,谢谢，舒服多了。,감사해요. 많이 편해졌어요.,"xièxie, shūfu duō le",舒服=편하다,,
massage,2. 服务过程 (시술중),7,技师,还有哪里不舒服？,또 어디 불편하세요?,hái yǒu nǎlǐ bù shūfu?,,,
massage,3. 追加项目 (추가서비스),1,技师,要不要加精油按摩？,에센셜 오일 마사지 추가하실래요?,yào búyào jiā jīngyóu ànmó?,精油=에센셜오일 | 加=추가하다,,
massage,3. 追加项目 (추가서비스),2,客人,有什么效果？,무슨 효과가 있어요?,yǒu shénme xiàoguǒ?,效果=효과,,
massage,3. 追加项目 (추가서비스),3,技师,可以放松，促进血液循环。,이완되고 혈액순환 촉진돼요.,"kěyǐ fàngsōng, cùjìn xuèyè xúnhuán",放松=이완 | 促进=촉진 | 血液=혈액 | 循环=순환,,
massage,3. 追加项目 (추가서비스),4,客人,多少钱？,얼마예요?,duōshao qián?,,,
massage,3. 追加项目 (추가서비스),5,技师,加80元。,80위안 추가예요.,jiā bāshí yuán,,,
massage,3. 追加项目 (추가서비스),6,客人,好的，加吧。,"네, 추가할게요.","hǎo de, jiā ba",,,
massage,3. 追加项目 (추가서비스),7,技师,好的，马上开始。,"네, 바로 시작할게요.","hǎo de, mǎshàng kāishǐ",马上=바로 | 开始=시작,,
massage,4. 结账休息 (결제휴식),1,客人,服务很好，我很满意。,서비스 좋았어요. 만족해요.,"fúwù hěn hǎo, wǒ hěn mǎnyì",满意=만족,,
massage,4. 结账休息 (결제휴식),2,技师,谢谢。要喝茶吗？,감사해요. 차 드실래요?,xièxie. yào hē chá ma?,,,
massage,4. 结账休息 (결제휴식),3,客人,好的，谢谢。,"네, 감사해요.","hǎo de, xièxie",,,
massage,4. 结账休息 (결제휴식),4,工作人员,一共360元。,전부 360위안이에요.,yīgòng sānbǎi liùshí yuán,,,
massage,4. 结账休息 (결제휴식),5,客人,可以支付宝吗？,알리페이 가능한가요?,kěyǐ zhīfùbǎo ma?,支付宝=알리페이,,
massage,4. 结账休息 (결제휴식),6,工作人员,可以。这是二维码。,가능해요. QR코드예요.,kěyǐ. zhè shì èrwéimǎ,二维码=QR코드,,
